Name,Hangzhou,Huzhou,Jiaxing,Jinhua,Lishui,Ningbo,Shaoxing,Taizhou,Wenzhou
N_219,7.67E-07,5.31E-06,0.999980144,1.73E-06,2.54E-06,8.88E-07,7.18E-07,3.58E-06,4.33E-06
HD0028217-ZZM20230047.result.fasta,0,0,1,0,0,0,0,0,0
HD0028223-ZZM20230053.result.fasta,0,0,1,0,0,0,0,0,0
N_216,1.22E-07,7.20E-07,0.999997409,2.11E-07,3.33E-07,1.10E-07,9.11E-08,4.55E-07,5.48E-07
HD0028213-ZZM20230043.result.fasta,0,0,1,0,0,0,0,0,0
N_214,5.11E-10,4.38E-08,0.999999875,7.77E-09,1.61E-08,3.81E-09,3.08E-09,2.26E-08,2.76E-08
HD0028212-ZZM20230042.result.fasta,0,0,1,0,0,0,0,0,0
HD0028216-ZZM20230046.result.fasta,0,0,1,0,0,0,0,0,0
HD0028218-ZZM20230048.result.fasta,0,0,1,0,0,0,0,0,0
N_288,0.979471758,5.38E-06,1.96E-07,7.63E-08,1.43E-06,1.74E-07,0.020520601,2.36E-07,1.46E-07
N_238,0.018385682,8.56E-05,3.87E-05,4.15E-05,7.41E-05,4.52E-05,0.981194026,8.34E-05,5.18E-05
HD0028303-ZZM2023401.result.fasta,0,0,0,0,0,0,1,0,0
HD0028315-ZZM2023413.result.fasta,0,0,0,0,0,0,1,0,0
N_235,7.20E-06,2.17E-08,8.77E-09,9.29E-09,1.74E-08,1.04E-08,0.999992695,2.64E-08,1.15E-08
HD0028308-ZZM2023406.result.fasta,0,0,0,0,0,0,1,0,0
HD0028313-ZZM2023411.result.fasta,0,0,0,0,0,0,1,0,0
N_232,1.04E-10,3.91E-13,3.23E-13,4.11E-13,2.79E-13,2.70E-13,1,1.74E-12,3.50E-13
HD0028310-ZZM2023408.result.fasta,0,0,0,0,0,0,1,0,0
HD0028314-ZZM2023412.result.fasta,0,0,0,0,0,0,1,0,0
HD0028318-ZZM2023416.result.fasta,0,0,0,0,0,0,1,0,0
N_228,1.68E-12,1.09E-13,1.14E-13,1.49E-13,7.88E-14,8.98E-14,1,6.74E-13,1.20E-13
HD0028301-ZZM2023399.result.fasta,0,0,0,0,0,0,1,0,0
HD0028309-ZZM2023407.result.fasta,0,0,0,0,0,0,1,0,0
HD0028316-ZZM2023414.result.fasta,0,0,0,0,0,0,1,0,0
N_225,4.02E-08,5.49E-09,7.37E-09,9.72E-09,4.78E-09,5.70E-09,0.999999899,1.99E-08,8.20E-09
HD0028302-ZZM2023400.result.fasta,0,0,0,0,0,0,1,0,0
HD0028317-ZZM2023415.result.fasta,0,0,0,0,0,0,1,0,0
N_287,1,8.45E-25,2.00E-31,1.55E-32,2.29E-25,3.49E-29,3.63E-22,1.29E-30,1.88E-30
SRR14852126.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852179.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852198.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852221.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852228.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852235.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852273.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852557.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852561.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862516.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862615.result.fasta,1,0,0,0,0,0,0,0,0
N_244,0.999999891,4.01E-08,5.91E-10,3.26E-10,3.12E-08,2.45E-09,3.16E-08,9.82E-10,1.33E-09
SRR14852180.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852224.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862499.result.fasta,1,0,0,0,0,0,0,0,0
N_277,1,2.61E-52,6.52E-69,7.65E-72,1.45E-53,3.91E-63,4.82E-53,3.03E-67,1.57E-66
SRR14852279.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852275.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852280.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852562.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862509.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852266.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862487.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852277.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862513.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852227.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852219.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852563.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852220.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862614.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862605.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852272.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862488.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852274.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852226.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852276.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852559.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852225.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852230.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852232.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852281.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862600.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852271.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852229.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852233.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862508.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852184.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852292.result.fasta,1,0,0,0,0,0,0,0,0
N_210,0.999923696,6.06E-05,7.42E-10,2.57E-10,1.36E-05,6.83E-12,2.10E-06,8.78E-11,4.20E-09
SRR14862549.result.fasta,1,0,0,0,0,0,0,0,0
N_191,0.07597822,0.003299245,0.000734585,0.766745055,0.141932075,0.000613614,0.000961973,0.007054678,0.002680554
HD0028290-ZZM2023327.result.fasta,0,0,0,1,0,0,0,0,0
N_189,0.023080907,0.002465719,0.000592691,0.770527351,0.194013563,0.000414452,0.000614165,0.005720907,0.002570244
HD0028186-ZZM20230012.result.fasta,0,0,0,0,1,0,0,0,0
HD0028289-ZZM2023326.result.fasta,0,0,0,1,0,0,0,0,0
N_208,0.999991041,4.21E-06,1.01E-07,6.96E-08,2.18E-06,2.72E-07,1.78E-06,1.49E-07,1.95E-07
SRR14852183.result.fasta,1,0,0,0,0,0,0,0,0
N_206,0.999999519,1.60E-07,7.03E-09,4.70E-09,1.36E-07,1.99E-08,1.30E-07,1.05E-08,1.35E-08
SRR14852182.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862576.result.fasta,1,0,0,0,0,0,0,0,0
N_203,5.64E-07,0.999999422,2.82E-09,1.14E-09,6.05E-09,2.84E-10,5.31E-10,1.41E-09,1.56E-09
HD0028195-ZZM20230021.result.fasta,0,1,0,0,0,0,0,0,0
HD0028205-ZZM20230032.result.fasta,0,1,0,0,0,0,0,0,0
N_197,5.61E-08,0.999999717,6.25E-08,3.97E-08,4.19E-08,7.15E-09,6.08E-09,3.36E-08,3.64E-08
HD0028197-ZZM20230023.result.fasta,0,1,0,0,0,0,0,0,0
N_195,9.27E-11,1,1.05E-10,6.62E-11,7.10E-11,1.18E-11,1.00E-11,5.62E-11,6.07E-11
HD0028196-ZZM20230022.result.fasta,0,1,0,0,0,0,0,0,0
HD0028199-ZZM20230025.result.fasta,0,1,0,0,0,0,0,0,0
N_201,6.34E-13,1,8.71E-13,4.29E-13,6.07E-13,5.26E-14,4.75E-14,3.77E-13,3.98E-13
HD0028200-ZZM20230026.result.fasta,0,1,0,0,0,0,0,0,0
HD0028203-ZZM20230030.result.fasta,0,1,0,0,0,0,0,0,0
HD0028206-ZZM20230033.result.fasta,0,1,0,0,0,0,0,0,0
N_78,0.979813497,0.014293276,1.25E-05,5.99E-06,0.005780334,4.04E-06,1.42E-05,5.27E-05,2.35E-05
HD0028177-ZZM20230003.result.fasta,0,0,0,0,1,0,0,0,0
N_77,1,4.07E-14,5.92E-19,1.65E-19,1.08E-14,4.66E-18,4.60E-16,1.57E-18,2.46E-18
SRR14852278.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852381.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852382.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852469.result.fasta,1,0,0,0,0,0,0,0,0
N_75,0.999999961,1.28E-08,5.63E-10,3.73E-10,1.10E-08,1.61E-09,1.05E-08,8.47E-10,1.08E-09
SRR14862533.result.fasta,1,0,0,0,0,0,0,0,0
N_73,0.999999804,6.49E-08,2.82E-09,1.87E-09,5.58E-08,8.10E-09,5.29E-08,4.26E-09,5.41E-09
SRR14852420.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862565.result.fasta,1,0,0,0,0,0,0,0,0
N_68,0.999999999,4.12E-10,5.18E-12,2.71E-12,3.26E-10,2.31E-11,3.16E-10,8.87E-12,1.16E-11
SRR14852419.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862566.result.fasta,1,0,0,0,0,0,0,0,0
N_65,0.999999999,1.87E-10,2.31E-12,1.20E-12,1.48E-10,1.04E-11,1.43E-10,3.97E-12,5.19E-12
SRR14852491.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852316.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862546.result.fasta,1,0,0,0,0,0,0,0,0
N_59,0.013963801,0.957337355,0.002014718,0.00026887,0.01509202,2.35E-05,3.91E-05,0.011068274,0.000192433
HD0028175-ZZM20230001.result.fasta,0,0,0,0,1,0,0,0,0
HD0028204-ZZM20230031.result.fasta,0,1,0,0,0,0,0,0,0
N_57,0.007289703,0.958353993,0.003347873,0.000399995,0.011790886,3.01E-05,4.42E-05,0.018556557,0.000186734
HD0028201-ZZM20230027.result.fasta,0,1,0,0,0,0,0,0,0
N_56,0.003561931,0.730396809,0.038222362,0.004357064,0.009216054,0.000291189,0.00024104,0.212960336,0.000753214
HD0028219-ZZM20230049.result.fasta,0,0,1,0,0,0,0,0,0
N_55,3.29E-05,0.016742931,0.000659524,0.014726292,0.000339152,2.70E-05,2.09E-05,0.967401504,4.98E-05
HD0028280-ZZM2023316.result.fasta,0,0,0,1,0,0,0,0,0
N_53,2.27E-10,2.70E-06,5.62E-08,0.006938361,7.88E-08,2.42E-09,1.84E-09,0.993058798,2.45E-09
N_33,1.50E-08,6.60E-07,4.20E-07,0.006193855,7.87E-07,3.13E-07,2.12E-07,0.993803559,1.78E-07
HD0028234-ZZM20230066.result.fasta,0,0,0,0,0,0,0,1,0
HD0028241-ZZM20230074.result.fasta,0,0,0,0,0,0,0,1,0
HD0028291-ZZM2023328.result.fasta,0,0,0,1,0,0,0,0,0
N_52,2.49E-07,4.99E-06,2.92E-06,0.015441734,4.75E-06,2.16E-06,1.50E-06,0.984540018,1.67E-06
HD0028240-ZZM20230072.result.fasta,0,0,0,0,0,0,0,1,0
N_51,6.83E-08,3.88E-06,1.92E-06,0.976357505,9.09E-06,1.31E-06,9.86E-07,0.023623559,1.69E-06
HD0028282-ZZM2023318.result.fasta,0,0,0,1,0,0,0,0,0
HD0028283-ZZM2023320.result.fasta,0,0,0,1,0,0,0,0,0
HD0028285-ZZM2023322.result.fasta,0,0,0,1,0,0,0,0,0
N_46,1.09E-11,2.69E-09,5.41E-10,0.001113281,1.51E-09,3.84E-10,2.64E-10,0.998886714,2.10E-10
HD0028236-ZZM20230068.result.fasta,0,0,0,0,0,0,0,1,0
N_45,1.48E-06,1.63E-05,1.61E-05,0.007712981,2.46E-05,1.20E-05,8.33E-06,0.992198878,9.33E-06
HD0028239-ZZM20230071.result.fasta,0,0,0,0,0,0,0,1,0
HD0028286-ZZM2023323.result.fasta,0,0,0,1,0,0,0,0,0
N_42,4.58E-10,1.61E-08,1.36E-08,0.000709888,2.61E-08,1.02E-08,6.93E-09,0.999290033,5.58E-09
HD0028248-ZZM20230081.result.fasta,0,0,0,0,0,0,0,1,0
HD0028294-ZZM2023331.result.fasta,0,0,0,1,0,0,0,0,0
N_39,3.12E-09,3.71E-08,4.53E-08,2.78E-05,4.79E-08,3.56E-08,2.33E-08,0.999972009,1.62E-08
HD0028238-ZZM20230070.result.fasta,0,0,0,0,0,0,0,1,0
N_38,2.44E-08,2.13E-07,2.79E-07,1.98E-05,2.63E-07,2.19E-07,1.43E-07,0.999978979,1.07E-07
HD0028243-ZZM20230076.result.fasta,0,0,0,0,0,0,0,1,0
HD0028246-ZZM20230079.result.fasta,0,0,0,0,0,0,0,1,0
N_186,2.56E-09,4.38E-07,1.67E-07,3.36E-10,3.33E-06,9.13E-07,3.12E-10,4.92E-10,0.999995151
HD0028268-ZZM20230279.result.fasta,0,0,0,0,0,0,0,0,1
HD0028270-ZZM20230281.result.fasta,0,0,0,0,0,0,0,0,1
HD0028277-ZZM20230288.result.fasta,0,0,0,0,0,0,0,0,1
